explanation_id,sentence_id,sentence_text,label_annotator_1,label_annotator_2,label_final,adjudication_note,notes
AI_E01_1,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_E01_1,2,"A battery provides a voltage, which acts like a push that drives charges.",PRINCIPLE_DERIVE,INTUITION,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,"QC_OK: PRINCIPLE_DERIVE label confirmed | T4 PRINCIPLEvsINTUITION: uses analogy cue ""acts like"""
AI_E01_1,3,Current is the rate of charge flow.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: conceptual definition
AI_E01_1,4,"According to Ohm’s law, current equals voltage divided by resistance.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,5,"If voltage stays the same and resistance increases, current must decrease.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: conditional inference from fixed-voltage setup
AI_E01_1,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,FRAME,FRAME,FRAME,,QC_OK: FRAME label confirmed
AI_E01_2,2,"A battery provides a voltage, which acts like a push that drives charges.",PRINCIPLE_DERIVE,INTUITION,PRINCIPLE_DERIVE,AUTO_FINAL=Annotator1,"QC_OK: PRINCIPLE_DERIVE label confirmed | T4 PRINCIPLEvsINTUITION: uses analogy cue ""acts like"""
AI_E01_2,3,Current is the rate of charge flow.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: conceptual definition
AI_E01_2,4,"According to Ohm’s law, current equals voltage divided by resistance.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,5,"If voltage stays the same and resistance increases, current must decrease.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,,QC_OK: PRINCIPLE_DERIVE label confirmed | T1 PRINCIPLEvsDERIVE: conditional inference from fixed-voltage setup
