explanation_id,prompt_id,topic,source_type,source_name,source_url,model_name,generation_prompt,explanation_text,word_count,annotation_status,second_annotation_status,physics_flag,notes,batch
H_M01_1,M01,Mechanics,human,OpenStax / MIT OCW,https://openstax.org/books/college-physics-2e/pages/6-2-centripetal-acceleration,,,"Acceleration is defined as any change in velocity, and velocity includes both speed and direction. Even when an object moves in a circle at a constant speed, its direction changes continuously. At every point on the path, the velocity vector points in a new direction, tangent to the circle. Because the direction changes, the velocity changes, which means the object is accelerating. This acceleration points inward toward the center of the circle and is called centripetal acceleration. By Newton’s second law, a net inward force must act to produce this acceleration, whether from tension, gravity, or friction.",97,done,done,OK,human benchmark,legacy_60
H_M02_1,M02,Mechanics,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/2-7-falling-objects,,,"In free fall without air resistance, all objects accelerate downward at the same rate regardless of mass. A heavier object does experience a larger gravitational force, but it also has proportionally greater inertia. Newton’s second law says acceleration equals force divided by mass. Since gravity provides a force equal to mass times g, the mass cancels out, leaving the same acceleration for all objects. This means a hammer and a feather would fall together in a vacuum. The differences we see in everyday life come from air resistance, not from mass itself.",92,done,done,OK,human benchmark,legacy_60
H_M03_1,M03,Mechanics,human,OpenStax,https://openstax.org/books/university-physics-volume-1/pages/5-2-newtons-first-law,,,"When a car suddenly accelerates forward, your body tends to remain at rest because of inertia. Newton’s first law says an object will stay at rest or keep moving at constant velocity unless acted on by a net external force. The seat pushes your body forward, but your body initially resists that change. This makes it feel as though you are being pushed backward into the seat. In reality, there is no backward force acting on you. The sensation comes from your body resisting the forward acceleration and adjusting to the car’s new motion.",94,done,,OK,human benchmark,legacy_60
H_M04_1,M04,Mechanics,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/8-2-impulse,,,"A seatbelt reduces injury because it increases the time over which your momentum changes during a sudden stop. The impulse-momentum theorem says that force times time equals the change in momentum. In a crash, your body must go from moving at car speed to rest either way. If that happens in a very short time, the force is extremely large. A seatbelt stretches slightly and spreads the stopping process over a longer time, reducing the peak force on your body. It also keeps you from hitting the dashboard or windshield, which greatly lowers injury risk.",95,done,,OK,human benchmark,legacy_60
H_M05_1,M05,Mechanics,human,OpenStax,https://openstax.org/books/physics/pages/8-1-linear-momentum-force-and-impulse,,,"A truck is harder to stop than a bicycle moving at the same speed because the truck has much more momentum. Momentum equals mass times velocity, so even at the same speed, the truck’s much larger mass gives it far greater momentum. To stop a moving object, you must reduce its momentum to zero, which requires an impulse. A larger momentum means you need more force, more time, or both to stop it. This is why trucks need stronger brakes and longer stopping distances. Greater mass also means greater inertia, which makes the truck resist changes in motion more strongly.",100,done,,OK,human benchmark,legacy_60
H_M06_1,M06,Mechanics,human,OpenStax,https://openstax.org/books/university-physics-volume-1/pages/5-5-newtons-third-law,,,"A person standing still on ice still exerts a force on the surface because forces always come in pairs. Your weight pulls downward due to gravity, so you push down on the ice. According to Newton’s third law, the ice pushes upward on you with an equal and opposite normal force. These two forces do not cancel because they act on different objects: one acts on you, and one acts on the ice. Even when you are standing still, you are continuously exerting force downward on the surface beneath you simply by making contact with it.",96,done,,OK,human benchmark,legacy_60
H_M07_1,M07,Mechanics,human,OpenStax,https://openstax.org/books/university-physics-volume-1/pages/6-2-friction,,,"Friction does not always oppose motion itself; it opposes relative slipping between surfaces. When you walk, your foot pushes backward against the ground. Static friction from the ground then pushes you forward, allowing you to move. Without friction, your feet would slip and you could not walk effectively. The same idea explains how cars accelerate and turn: tires push against the road, and friction provides the forward or sideways force needed. Friction only directly resists motion when surfaces slide past each other. In many everyday situations, friction is what makes controlled motion possible.",93,done,,OK,human benchmark,legacy_60
H_M08_1,M08,Mechanics,human,OpenStax,https://openstax.org/books/university-physics-volume-1/pages/5-5-newtons-third-law,,,"A rocket accelerates in space by pushing exhaust gases backward at high speed. By Newton’s third law, every action force has an equal and opposite reaction force. The rocket engine burns fuel and expels hot gas out of the nozzle. As the rocket pushes the gas backward, the gas pushes the rocket forward with an equal and opposite force called thrust. A rocket does not need air to push against because it carries its own fuel and propellant. This is why rockets work in the vacuum of space and can maneuver far from Earth’s atmosphere.",95,done,,OK,human benchmark,legacy_60
H_E01_1,E01,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/20-2-ohms-law-resistance-and-simple-circuits,,,"Ohm’s law says current equals voltage divided by resistance. In a simple circuit with a fixed battery voltage, increasing resistance reduces current. Resistance makes it harder for electric charge to move through a material, so fewer charges pass a point each second. You can think of it like water flowing through a pipe: narrowing the pipe makes it harder for water to flow. A resistor does not block charge completely; it limits the flow and converts some electrical energy into heat or light. This is why adding more resistance in series lowers the total current in the circuit.",98,done,done,OK,human benchmark,legacy_60
H_E02_1,E02,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/21-2-electromotive-force-terminal-voltage,,,"A battery stores chemical potential energy and converts it into electrical energy through chemical reactions. When the circuit is closed, these reactions move charge and maintain a voltage difference between the battery terminals. As current flows, the reactants inside the battery are gradually used up. Over time, the battery can no longer sustain the same chemical reactions, so the voltage drops and the battery eventually runs out. Some energy is also lost as heat because of the battery’s internal resistance. Rechargeable batteries work by reversing the chemical reactions using an external power source to restore the stored energy.",98,done,,OK,human benchmark,legacy_60
