explanation_id,prompt_id,topic,source_type,source_name,source_url,model_name,generation_prompt,explanation_text,word_count,annotation_status,second_annotation_status,physics_flag,notes
AI_P21_1,P21,mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does an object moving at constant speed in a circle still have acceleration?","Acceleration is the rate of change of velocity, and velocity includes both speed and direction. In circular motion, even if the speed stays constant, the direction of motion is continuously changing, so the velocity is changing. This means there is an acceleration, called centripetal acceleration, which always points toward the center of the circle. The relevant principle is that any change in velocity requires a net force (Newton’s second law). For example, when a car turns at constant speed, you feel pushed sideways because your direction is changing, indicating an inward acceleration toward the center of the turn.",98,pending,,,auto-generated via OpenRouter
AI_P21_2,P21,mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does an object moving at constant speed in a circle still have acceleration?","Acceleration is defined as any change in velocity, and velocity is a vector, meaning it has both magnitude and direction. Even if your speed stays constant around a circle, your direction of motion is continuously changing, so your velocity vector is constantly changing. That change in velocity per unit time is acceleration, called centripetal acceleration, always pointing toward the center of the circle. Think of swinging a ball on a string: the string pulls the ball inward, constantly redirecting it without speeding it up. Without that inward pull, the ball would fly off in a straight line, as Newton's first law predicts.",102,pending,,,auto-generated via OpenRouter
AI_P22_1,P22,em,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: At fixed voltage, why does increasing resistance reduce current in a simple circuit?","At fixed voltage, the relationship between current and resistance is given by Ohm’s law: I = V / R. Voltage is the “push” driving charges through a circuit, while resistance measures how strongly the material opposes that motion. If the voltage stays the same and resistance increases, the denominator in the equation grows, so the current must decrease. Microscopically, higher resistance means charge carriers (like electrons) collide more often with atoms, losing momentum and moving more slowly on average. An intuitive analogy is water flowing through a pipe: if you narrow or roughen the pipe (increase resistance), less water flows for the same pressure.",104,pending,,,auto-generated via OpenRouter
AI_P22_2,P22,em,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: At fixed voltage, why does increasing resistance reduce current in a simple circuit?","Voltage is the electrical ""pressure"" that pushes charges through a circuit, while resistance is how much the circuit opposes that flow. Ohm's Law states that current equals voltage divided by resistance (I = V/R). Think of water flowing through a pipe: voltage is the water pressure, and resistance is how narrow the pipe is. If you squeeze the pipe tighter while keeping the pressure the same, less water flows through. Similarly, when resistance increases at fixed voltage, there is greater opposition to charge movement, so fewer charges pass any point per second — meaning current decreases proportionally.",97,pending,,,auto-generated via OpenRouter
AI_P23_1,P23,energy_work,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is work done by a force zero when the force is perpendicular to displacement?","Work is defined as the dot product of force and displacement, \( W = \vec{F} \cdot \vec{d} = F d \cos\theta \). The key is the cosine term: it picks out the component of the force along the direction of motion. If the force is perpendicular to the displacement, then \(\theta = 90^\circ\) and \(\cos 90^\circ = 0\), so no work is done. Physically, this means the force changes the object’s direction but not its speed or energy. A classic example is uniform circular motion: the centripetal force always points inward, perpendicular to the velocity, so it continuously redirects the motion without adding or removing energy.",106,pending,,,auto-generated via OpenRouter
AI_P23_2,P23,energy_work,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is work done by a force zero when the force is perpendicular to displacement?","Work is defined as the transfer of energy from a force into the motion of an object along a specific direction. Mathematically, work equals force times displacement times the cosine of the angle between them. When a force is perpendicular to displacement, that angle is 90°, and cosine of 90° is zero, so no work is done. Physically, this means the force has no component pointing along the direction of motion, so it cannot speed up or slow down the object — it cannot transfer energy into or out of that motion. A classic example is a satellite orbiting Earth: gravity pulls inward while the satellite moves tangentially, so gravity does zero work and the satellite's speed remains constant.",119,pending,,,auto-generated via OpenRouter
AI_P24_1,P24,thermo_waves,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: In a sealed rigid container, why does pressure increase when temperature increases?","In a sealed rigid container, the volume and number of particles stay constant, so increasing temperature means increasing the average kinetic energy of the gas molecules (from kinetic theory). Faster molecules collide with the container walls more frequently and with greater force, which raises the pressure. This is captured by the ideal gas law \(P \propto T\) when volume and particle number are fixed. Intuitively, imagine ping-pong balls bouncing inside a box: if they suddenly move faster, they hit the walls harder and more often, so the force on the walls—and thus the pressure—increases.",94,pending,,,auto-generated via OpenRouter
AI_P24_2,P24,thermo_waves,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: In a sealed rigid container, why does pressure increase when temperature increases?","When you heat a gas, you add energy to its molecules, causing them to move faster. Pressure is created by molecules constantly colliding with the container walls — each collision delivers a tiny push. When molecules move faster, two things happen: they hit the walls more frequently, and each individual collision transfers more force. Since the container is rigid and sealed, the volume cannot expand and the number of molecules stays fixed, so all that extra molecular energy goes directly into harder and more frequent wall collisions. Think of it like a crowd in a room getting increasingly agitated — the more energetically people bounce around, the harder they push against the walls. This relationship is captured by Gay-Lussac's Law: at constant volume, pressure is directly proportional to absolute temperature.",130,pending,,,auto-generated via OpenRouter
AI_P25_1,P25,em,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does the induced current oppose the change in magnetic flux in electromagnetic induction?","When magnetic flux through a loop changes, an induced current appears whose direction opposes that change—this is Lenz’s law. The deeper reason is conservation of energy: if the induced current reinforced the change, the system would amplify itself without any external work, creating energy from nothing. Instead, the induced current produces its own magnetic field that resists the change, so an external agent must do work to alter the flux. For example, pushing a magnet toward a conducting loop induces a current whose magnetic field repels the magnet, making it feel harder to push—your mechanical work becomes electrical energy.",99,pending,,,auto-generated via OpenRouter
AI_P25_2,P25,em,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does the induced current oppose the change in magnetic flux in electromagnetic induction?","When a magnetic flux through a conducting loop changes, the loop responds by driving a current that creates its own magnetic field to resist that change — this is Faraday's law combined with Lenz's law. The deeper reason is energy conservation: if the induced current reinforced the change instead of opposing it, the growing magnetic field would induce a stronger current, which would grow the field further, generating energy from nothing, violating conservation of energy. Think of it like mechanical inertia — just as a stationary object resists being pushed, a stable magnetic flux resists being disturbed. Nature always pushes back against the disturbance, never amplifying it freely.",108,pending,,,auto-generated via OpenRouter
