explanation_id,prompt_id,topic,source_type,source_name,explanation_text,notes
H_P21_01,P21,mechanics,human,"OpenStax College Physics 2e 6.2","An object in uniform circular motion can have constant speed but still accelerate because velocity is a vector with both magnitude and direction. In circular motion, the direction of velocity changes continuously, so velocity changes even when speed does not. Acceleration measures that change in velocity, so it is nonzero and points toward the center of the circle. Its magnitude is a_c = v^2/r (or r*omega^2). A tighter turn (smaller r) or higher speed increases this inward acceleration.","Paraphrased from cited section; beginner-facing"
H_P22_01,P22,em,human,"OpenStax Physics 19.1","At fixed voltage, current and resistance are linked by Ohm's law, I = V/R. If V stays the same and R increases, I must decrease. Physically, higher resistance means charge carriers face more opposition as they move through the material, so less charge passes a point each second. So increasing resistance lowers current in a simple circuit unless voltage is changed to compensate.","Paraphrased from cited section; beginner-facing"
H_P23_01,P23,energy_work,human,"OpenStax University Physics Vol 1 7.1","Work by a constant force is W = F d cos(theta), where theta is the angle between force and displacement. If force is perpendicular to displacement, theta = 90 degrees and cos(90) = 0, so W = 0. That means the force can change direction of motion without transferring energy through work in that direction. A common example is carrying a bag horizontally at constant height: your upward force is perpendicular to your horizontal displacement, so your force does no mechanical work on the bag along the path.","Paraphrased from cited section; beginner-facing"
H_P24_01,P24,thermo_waves,human,"OpenStax College Physics 2e 13.3","For a fixed amount of gas in a rigid sealed container, volume and particle number are constant. From the ideal gas law, P V = N k T, pressure is proportional to absolute temperature when V and N are fixed. So when temperature rises, pressure rises. Microscopically, hotter gas particles move faster and collide with container walls more frequently and with greater momentum change, which increases pressure.","Paraphrased from cited section; beginner-facing"
H_P25_01,P25,em,human,"OpenStax College Physics 23.2","Faraday's law says a changing magnetic flux induces an emf. The minus sign in Faraday's law expresses Lenz's law: the induced current flows in a direction that opposes the change in flux that created it. This opposition is a consistency condition with energy conservation. If induced current reinforced the original change, flux would grow without extra work. Instead, induced effects resist the change, so external work is required to keep changing the field.","Paraphrased from cited section; beginner-facing"
H_P26_01,P26,mechanics,human,"OpenStax Physics 8.2","Momentum is conserved for a system when net external impulse is negligible. During a collision, objects exert internal forces on each other that are equal and opposite, so these internal effects cancel at the system level. As a result, total momentum before and after the collision is the same, even though individual object momenta can change a lot. Kinetic energy may or may not be conserved depending on whether the collision is elastic.","Paraphrased from cited section; beginner-facing"
H_P27_01,P27,mechanics,human,"OpenStax Physics 4.3","Newton's second law states that net force equals mass times acceleration: F_net = m a. This means acceleration points in the direction of net force, grows when net force grows, and shrinks when mass grows for the same force. So a larger net force causes a larger acceleration, while a more massive object requires more force to get the same acceleration. The law quantitatively links cause (net force) to motion change (acceleration).", "Paraphrased from cited section; beginner-facing"
H_P28_01,P28,energy_work,human,"OpenStax Physics 9.2","Mechanical energy is the sum of kinetic and potential energy. In an ideal system with negligible nonconservative work (like friction), total mechanical energy stays constant while energy shifts between forms. For example, as an object moves downhill, gravitational potential energy decreases and kinetic energy increases by the same amount. Moving uphill reverses the transfer. So K and U can change significantly while K + U remains constant.","Paraphrased from cited section; beginner-facing"
H_P29_01,P29,thermo_waves,human,"OpenStax Physics 14.1","Wave speed, frequency, and wavelength satisfy v = f lambda. In one medium, speed is set mainly by medium properties, so if frequency increases then wavelength must decrease to keep v the same. Frequency is set by the source, while wavelength adjusts in response to speed in that medium. This is why high-frequency sound has shorter wavelength than low-frequency sound when both travel through the same air.","Paraphrased from cited section; beginner-facing"
H_P30_01,P30,em,human,"OpenStax College Physics 2e 22.5","A magnetic field exerts force on a moving charge with magnitude F = q v B sin(theta), perpendicular to both velocity and magnetic field. Because the magnetic force is perpendicular to motion, it changes direction of velocity more than speed. With v perpendicular to B in a uniform field, the path is circular; with a component parallel to B, the path is helical. So magnetic fields steer charged particles and can confine them into curved trajectories.","Paraphrased from cited section; beginner-facing"
