explanation_id,sentence_id,sentence_text,annotator,label,notes
H_M01_1,1,"Acceleration is defined as any change in velocity, and velocity includes both speed and direction.",Annotator One,FRAME,QC_OK: FRAME label confirmed
H_M01_1,2,"Even when an object moves in a circle at a constant speed, its direction changes continuously.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M01_1,3,"At every point on the path, the velocity vector points in a new direction, tangent to the circle.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M01_1,4,"Because the direction changes, the velocity changes, which means the object is accelerating.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M01_1,5,This acceleration points inward toward the center of the circle and is called centripetal acceleration.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M01_1,6,"By Newton’s second law, a net inward force must act to produce this acceleration, whether from tension, gravity, or friction.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M01_1,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,3,"At every instant, the object’s velocity points in a slightly new direction.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,4,That change in direction requires an inward acceleration called centripetal acceleration.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_1,5,"Without it, the object would move in a straight line instead.",Annotator One,VERIFY,QC_OK: VERIFY label confirmed
AI_M01_1,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M01_2,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,3,"At every instant, the object’s velocity points in a slightly new direction.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,4,That change in direction requires an inward acceleration called centripetal acceleration.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M01_2,5,"Without it, the object would move in a straight line instead.",Annotator One,VERIFY,QC_OK: VERIFY label confirmed
AI_M01_2,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M02_1,1,"In free fall without air resistance, all objects accelerate downward at the same rate regardless of mass.",Annotator One,FRAME,QC_OK: FRAME label confirmed
