explanation_id,sentence_id,sentence_text,annotator,label,notes
H_P21_01,1,An object in uniform circular motion can have constant speed but still accelerate because velocity is a vector with both magnitude and direction.,Annotator One,FRAME,AUTO_ANN_V1: expansion batch
H_P21_01,1,An object in uniform circular motion can have constant speed but still accelerate because velocity is a vector with both magnitude and direction.,Annotator Two,FRAME,AUTO_ANN2_DRAFT: overlap extension
H_P21_01,2,"In circular motion, the direction of velocity changes continuously, so velocity changes even when speed does not.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P21_01,2,"In circular motion, the direction of velocity changes continuously, so velocity changes even when speed does not.",Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P21_01,3,"Acceleration measures that change in velocity, so it is nonzero and points toward the center of the circle.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P21_01,3,"Acceleration measures that change in velocity, so it is nonzero and points toward the center of the circle.",Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P21_01,4,Its magnitude is a_c = v^2/r (or r*omega^2).,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P21_01,4,Its magnitude is a_c = v^2/r (or r*omega^2).,Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P21_01,5,A tighter turn (smaller r) or higher speed increases this inward acceleration.,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P21_01,5,A tighter turn (smaller r) or higher speed increases this inward acceleration.,Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P22_01,1,"At fixed voltage, current and resistance are linked by Ohm's law, I = V/R.",Annotator One,CAVEAT,AUTO_ANN_V1: expansion batch
H_P22_01,2,"If V stays the same and R increases, I must decrease.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P22_01,3,"Physically, higher resistance means charge carriers face more opposition as they move through the material, so less charge passes a point each second.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P22_01,4,So increasing resistance lowers current in a simple circuit unless voltage is changed to compensate.,Annotator One,CAVEAT,AUTO_ANN_V1: expansion batch
H_P23_01,1,"Work by a constant force is W = F d cos(theta), where theta is the angle between force and displacement.",Annotator One,FRAME,AUTO_ANN_V1: expansion batch
H_P23_01,2,"If force is perpendicular to displacement, theta = 90 degrees and cos(90) = 0, so W = 0.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P23_01,3,That means the force can change direction of motion without transferring energy through work in that direction.,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P23_01,4,"A common example is carrying a bag horizontally at constant height: your upward force is perpendicular to your horizontal displacement, so your force does no mechanical work on the bag along the path.",Annotator One,INTUITION,AUTO_ANN_V1: expansion batch
H_P24_01,1,"For a fixed amount of gas in a rigid sealed container, volume and particle number are constant.",Annotator One,CAVEAT,AUTO_ANN_V1: expansion batch
H_P24_01,2,"From the ideal gas law, P V = N k T, pressure is proportional to absolute temperature when V and N are fixed.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P24_01,3,"So when temperature rises, pressure rises.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P24_01,4,"Microscopically, hotter gas particles move faster and collide with container walls more frequently and with greater momentum change, which increases pressure.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,1,Faraday's law says a changing magnetic flux induces an emf.,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,1,Faraday's law says a changing magnetic flux induces an emf.,Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P25_01,2,The minus sign in Faraday's law expresses Lenz's law: the induced current flows in a direction that opposes the change in flux that created it.,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,2,The minus sign in Faraday's law expresses Lenz's law: the induced current flows in a direction that opposes the change in flux that created it.,Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P25_01,3,This opposition is a consistency condition with energy conservation.,Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,3,This opposition is a consistency condition with energy conservation.,Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P25_01,4,"If induced current reinforced the original change, flux would grow without extra work.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,4,"If induced current reinforced the original change, flux would grow without extra work.",Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P25_01,5,"Instead, induced effects resist the change, so external work is required to keep changing the field.",Annotator One,PRINCIPLE_DERIVE,AUTO_ANN_V1: expansion batch
H_P25_01,5,"Instead, induced effects resist the change, so external work is required to keep changing the field.",Annotator Two,PRINCIPLE_DERIVE,AUTO_ANN2_DRAFT: overlap extension
H_P26_01,1,Momentum is conserved for a system when net external impulse is negligible.,Annotator One,FRAME,AUTO_ANN_V1: expansion batch
