explanation_id,sentence_id,sentence_text,label_annotator_1,label_annotator_2,agree
AI_M02_1,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",FRAME,FRAME,1
AI_M02_1,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_1,3,These two effects balance out.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_1,4,Newton’s second law says acceleration equals force divided by mass.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_1,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_1,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",PRINCIPLE_DERIVE,VERIFY,0
AI_M02_2,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",FRAME,FRAME,1
AI_M02_2,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_2,3,These two effects balance out.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_2,4,Newton’s second law says acceleration equals force divided by mass.,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_2,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_M02_2,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",PRINCIPLE_DERIVE,VERIFY,0
AI_P21_1,1,"Acceleration is the rate of change of velocity, and velocity includes both speed and direction.",FRAME,FRAME,1
AI_P21_1,2,"In circular motion, even if the speed stays constant, the direction of motion is continuously changing, so the velocity is changing.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_P21_1,3,"This means there is an acceleration, called centripetal acceleration, which always points toward the center of the circle.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_P21_1,4,The relevant principle is that any change in velocity requires a net force (Newton’s second law).,PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_P21_1,5,"For example, when a car turns at constant speed, you feel pushed sideways because your direction is changing, indicating an inward acceleration toward the center of the turn.",INTUITION,INTUITION,1
AI_P21_2,1,"Acceleration is defined as any change in velocity, and velocity is a vector, meaning it has both magnitude and direction.",FRAME,FRAME,1
AI_P21_2,2,"Even if your speed stays constant around a circle, your direction of motion is continuously changing, so your velocity vector is constantly changing.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_P21_2,3,"That change in velocity per unit time is acceleration, called centripetal acceleration, always pointing toward the center of the circle.",PRINCIPLE_DERIVE,PRINCIPLE_DERIVE,1
AI_P21_2,4,"Think of swinging a ball on a string: the string pulls the ball inward, constantly redirecting it without speeding it up.",INTUITION,INTUITION,1
