explanation_id,prompt_id,topic,source_type,annotator_id,correctness,clarity,completeness,notes
H_M01_1,M01,Mechanics,human,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M01_1,M01,Mechanics,AI,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M01_2,M01,Mechanics,AI,Annotator_1,5,4,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M02_1,M02,Mechanics,human,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M02_1,M02,Mechanics,AI,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M02_2,M02,Mechanics,AI,Annotator_1,5,4,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M03_1,M03,Mechanics,human,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M03_1,M03,Mechanics,AI,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M03_2,M03,Mechanics,AI,Annotator_1,5,4,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_E01_1,E01,Electricity & Magnetism,human,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_E01_1,E01,Electricity & Magnetism,AI,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_E01_2,E01,Electricity & Magnetism,AI,Annotator_1,5,4,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_T01_1,T01,Energy / Work / Thermo,human,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_T01_1,T01,Energy / Work / Thermo,AI,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_T01_2,T01,Energy / Work / Thermo,AI,Annotator_1,5,4,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M04_1,M04,Mechanics,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M05_1,M05,Mechanics,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M06_1,M06,Mechanics,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M07_1,M07,Mechanics,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M08_1,M08,Mechanics,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E02_1,E02,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E03_1,E03,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E04_1,E04,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E05_1,E05,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E06_1,E06,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E07_1,E07,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_E08_1,E08,Electricity & Magnetism,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_T02_1,T02,Energy / Work / Thermo,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_T03_1,T03,Energy / Work / Thermo,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_T04_1,T04,Energy / Work / Thermo,human,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
AI_M04_1,M04,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M04_2,M04,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M05_1,M05,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M05_2,M05,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M06_1,M06,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M06_2,M06,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M07_1,M07,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M07_2,M07,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
AI_M08_1,M08,Mechanics,AI,Annotator_1,5,5,4,Clear and correct AI explanation; slightly less nuanced than human benchmark.
