explanation_id,annotator,clarity,correctness,completeness,comments
H_M01_1,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M01_1,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M01_2,Annotator_1,4,5,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M02_1,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M02_1,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M02_2,Annotator_1,4,5,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M03_1,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_M03_1,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_M03_2,Annotator_1,4,5,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_E01_1,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_E01_1,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_E01_2,Annotator_1,4,5,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_T01_1,Annotator_1,5,5,5,"Clear, accurate, and pedagogically complete benchmark explanation."
AI_T01_1,Annotator_1,5,5,4,Highly clear and accurate AI explanation with strong structure; slightly less nuance than benchmark human text.
AI_T01_2,Annotator_1,4,5,4,Clear and accurate explanation with good flow; could use slightly more intuitive scaffolding.
H_M01_1,Annotator_2,5,5,4,Very clear and accurate explanation. Slightly less complete only because it stays concise rather than elaborating further.
AI_M01_1,Annotator_2,4,5,4,Accurate and clear explanation with solid structure. Could use a bit more intuition or verification to feel fully complete.
AI_M01_2,Annotator_2,5,5,4,"Strong explanatory flow and accuracy. Slightly more polished than the other AI variant, though still somewhat limited in completeness."
H_M02_1,Annotator_2,5,5,4,Very clear and accurate explanation. Slightly less complete only because it stays concise rather than elaborating further.
AI_M02_1,Annotator_2,4,5,4,Accurate and clear explanation with solid structure. Could use a bit more intuition or verification to feel fully complete.
AI_M02_2,Annotator_2,5,5,4,"Strong explanatory flow and accuracy. Slightly more polished than the other AI variant, though still somewhat limited in completeness."
H_M03_1,Annotator_2,5,5,4,Very clear and accurate explanation. Slightly less complete only because it stays concise rather than elaborating further.
AI_M03_1,Annotator_2,4,5,4,Accurate and clear explanation with solid structure. Could use a bit more intuition or verification to feel fully complete.
AI_M03_2,Annotator_2,5,5,4,"Strong explanatory flow and accuracy. Slightly more polished than the other AI variant, though still somewhat limited in completeness."
H_E01_1,Annotator_2,5,5,4,Very clear and accurate explanation. Slightly less complete only because it stays concise rather than elaborating further.
AI_E01_1,Annotator_2,4,5,4,Accurate and clear explanation with solid structure. Could use a bit more intuition or verification to feel fully complete.
AI_E01_2,Annotator_2,5,5,4,"Strong explanatory flow and accuracy. Slightly more polished than the other AI variant, though still somewhat limited in completeness."
H_T01_1,Annotator_2,5,5,4,Very clear and accurate explanation. Slightly less complete only because it stays concise rather than elaborating further.
AI_T01_1,Annotator_2,4,5,4,Accurate and clear explanation with solid structure. Could use a bit more intuition or verification to feel fully complete.
AI_T01_2,Annotator_2,5,5,4,"Strong explanatory flow and accuracy. Slightly more polished than the other AI variant, though still somewhat limited in completeness."
H_M04_1,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M05_1,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M06_1,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M07_1,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
H_M08_1,Annotator_1,5,5,5,"Human benchmark; clear, correct, complete."
